,ALARM_BOX_LOCATION,location,lat,lon
146,MANHATTAN AVE & 109 ST,"W 109th St & Manhattan Ave, New York, NY 10025, USA",40.800586,-73.96007039999998
147,PARK AVE & E 132 ST,"Park Ave & E 132nd St, New York, NY 10037, USA",40.8094479,-73.93566779999998
148,ASCAN AVE & JUNO ST,"Juno St & Ascan Ave, Queens, NY 11375, USA",40.71236,-73.8443758
149,SEAGIRT AVE & BEACH 27 ST,"Beach 27th St & Seagirt Ave, Queens, NY 11691, USA",40.5950531,-73.760115
150,NASSAU & WALL STS,"Wall St & Nassau St, New York, NY 10005, USA",40.707173,-74.01068339999998
151,WHITE PLAINS RD & 224 ST,"White Plains Rd & E 224th St, The Bronx, NY 10466, USA",40.8871078,-73.8608446
152,RIVERSIDE DR & 122 ST,"Riverside Dr & W 122nd St, New York, NY 10027, USA",40.8126328,-73.96301729999998
153,AVENUE X & E 74 ST,"E 74th St & Avenue X, Brooklyn, NY 11234, USA",40.6163328,-73.8998598
154,STUYVESANT AVE & HANCOCK ST,"Hancock St & Stuyvesant Ave, Brooklyn, NY 11221, USA",40.684565,-73.932378
155,N/S GRAND ST 300' W OF FDR DR,"300 Grand St, New York, NY 10002, USA",40.7177315,-73.99162840000002
156,THROOP AVE & HALSEY ST,"Throop Ave & Halsey St, Brooklyn, NY 11216, USA",40.682833,-73.94091399999998
157,HUGHES AVE & 180 ST,"Hughes Ave & E 180th St, The Bronx, NY 10457, USA",40.8489069,-73.89047729999999
158,NEW LOTS AVE & HENDRIX ST,"Hendrix St & New Lots Ave, Brooklyn, NY 11207, USA",40.6644177,-73.88725090000001
159,LEXINGTON AVE & 53 ST,"Lexington Ave & E 53rd St, New York, NY 10022, USA",40.75837870000001,-73.9710078
160,UNION AVE & 169 ST,"Union Ave & E 169th St, The Bronx, NY 10459, USA",40.8301001,-73.8987902
161,HAMPTON AVE & EXETER ST,"Exeter St & Hampton Ave, Brooklyn, NY 11235, USA",40.579775,-73.94869290000003
162,TROY AVE & AVENUE D,"Troy Ave & Avenue D, Brooklyn, NY 11203, USA",40.6417793,-73.9351408
163,31 AVE & 88 ST,"88th St & 31st Ave, Queens, NY 11369, USA",40.7598289,-73.88045149999998
164,BRONX PARK E. & ARNOW AVE,"Arnow Ave & Bronx Park E, The Bronx, NY 10467, USA",40.8679543,-73.8704793
165,8 AVE & W 57 ST,"W 57th St & 8th Ave, New York, NY 10019, USA",40.7667278,-73.98287499999998
166,120 AVE & INWOOD ST,"120th Ave & Inwood St, Queens, NY 11436, USA",40.6768074,-73.79403359999998
167,WILLIS AVE & 138 ST,"Willis Ave & E 138th St, The Bronx, NY 10454, USA",40.80911270000001,-73.9228463
168,BAKER AVE & WHITE PLAINS RD,"White Plains Rd & Baker Ave, The Bronx, NY 10462, USA",40.8424734,-73.8651283
169,PORT RICHMOND AVE & CASTLETON AVE,"Castleton Ave & Port Richmond Ave, Staten Island, NY 10302, USA",40.63605820000001,-74.1347646
170,PITT & BROOME STS,"Pitt St & Broome St, New York, NY 10002, USA",40.716123,-73.9836542
171,CORONA AVE & COTTER AVE\RICHMOND VFD,"Corona Ave & Cotter Ave, Staten Island, NY 10306, USA",40.5639144,-74.1423755
172,3 AVE & E 56 ST,"3 E 56th St, New York, NY 10022, USA",40.76244620000001,-73.9740443
173,OPP 10 RICHMAN PLZ-SEDWICK AV & W 176 ST,"10 Richman Plaza, The Bronx, NY 10453, USA",40.85152100000001,-73.923385
174,AVENUE I & E 23 ST,"E 23rd St & Avenue I, Brooklyn, NY 11210, USA",40.62844120000001,-73.9539626
175,POWELLS COVE BLVD & 154 ST,"Powells Cove Blvd & 154th St, Queens, NY 11357, USA",40.79457670000001,-73.80691089999998
176,MADISON AVE & E 29 ST,"Madison Ave & E 29th St, New York, NY 10016, USA",40.7446277,-73.9852465
177,FOSTER AVE & E 85 ST,"E 85th St & Foster Ave, Brooklyn, NY 11236, USA",40.6427419,-73.9150449
178,6 AVE & WASHINGTON PL,"6th Ave & Washington Pl, New York, NY 10014, USA",40.73232489999999,-74.000528
179,AMSTERDAM AVE & W 142 ST,"Amsterdam Ave & W 142nd St, New York, NY 10031, USA",40.823332,-73.9490057
180,STUYVESANT AVE & FULTON ST,"Stuyvesant Ave & Fulton St, Brooklyn, NY 11233, USA",40.67938970000001,-73.93134920000001
181,MERMAID AVE & W 31 ST,"W 31st St & Mermaid Ave, Brooklyn, NY 11224, USA",40.57521060000001,-73.9974913
182,WESTCHESTER AVE & CROES AVE,"Croes Ave & Westchester Ave, The Bronx, NY 10472, USA",40.8305787,-73.8709038
183,CLINTON AVE & E 181 ST,"Clinton Ave & E 181st St, The Bronx, NY 10457, USA",40.8484269,-73.8871228
184,ROGERS AVE & PROSPECT PL,"Rogers Ave & Prospect Pl, Brooklyn, NY 11216, USA",40.6744554,-73.95285159999997
185,47 RD & VERNON BLVD,"Vernon Blvd & 47th Rd, Queens, NY 11101, USA",40.744802,-73.9534089
186,5 AVE & 72 ST,"5th Ave & E 72nd St, New York, NY 10065, USA",40.77246150000001,-73.96704360000003
187,41 AVE & 21 ST,"41st Ave & 21st St, Queens, NY 11101, USA",40.7540053,-73.94242690000002
188,5 AVE & 112 ST,"5th Ave & W 112th St, New York, NY 10026, USA",40.7981246,-73.9483187
189,LINDEN BLVD. & BRISTOL ST.,"Linden Blvd & Bristol St, Brooklyn, NY 11236, USA",40.65430170000001,-73.90874050000002
190,PARSONS BLVD & ROOSEVELT AVE,"Roosevelt Ave & Parsons Blvd, Queens, NY 11354, USA",40.761627,-73.82207439999998
191,EDGECOMBE AVE & 163 ST,"W 163rd St & Edgecombe Ave, New York, NY 10033, USA",40.8357065,-73.93737409999999
192,CROTONA AVE & FAIRMOUNT PL,"Crotona Ave & Fairmount Pl, The Bronx, NY 10457, USA",40.8443513,-73.89203619999998
193,60 AVE & FRESH POND RD,"60-35 Fresh Pond Rd, Flushing, NY 11378, USA",40.71616100000001,-73.90127690000001
194,3 AVE & 88 ST,"E 88th St & 3rd Ave, New York, NY 10128, USA",40.78013050000001,-73.953046
195,BROADWAY & 65 ST,"Broadway & W 65th St, New York, NY 10023, USA",40.7730127,-73.98212020000003
196,COLUMBUS AV & ELLINGTON BLVD-106 ST,"Duke Ellington Blvd & Columbus Ave, New York, NY 10025, USA",40.7992119,-73.9628817
197,CLARKSON & UTICA AVES,"838 Clarkson Ave Brooklyn New York 11203, Brooklyn, NY 11203, United States",40.6566461,-73.93036510000002
198,48 AVE & 59 ST,"48th Ave & 59th St, Queens, NY 11377, USA",40.7385804,-73.9064853
199,43 AVE & 104 ST,"43rd Avenue & 104th St, Queens, NY 11368, USA",40.74782,-73.86063899999998
200,HEBERTON AND CASTLETON AVES,"Castleton Ave & Heberton Ave, Staten Island, NY 10302, USA",40.6350196,-74.1326335
201,WHITE PLAINS RD & 216 ST,"White Plains Rd & E 216th St, The Bronx, NY 10467, USA",40.88151920000001,-73.8643721
202,CENTRAL & PUTNAM AVES,"Putnam Ave, New York, NY, USA",40.6866976,-73.92683509999998
203,BROADWAY & 141 ST,"Broadway/W 141 St, New York, NY 10031, USA",40.82408100000001,-73.95195
204,9 AVE & 58 ST,"9th Ave & W 58th St, New York, NY 10019, USA",40.7685898,-73.985226
205,AVENUE K & E 54 ST,"Avenue K & E 54th St, Brooklyn, NY 11234, USA",40.6260777,-73.92374749999998
206,98 AVE & 219 ST,"98th Ave & 219th St, Queens, NY 11429, USA",40.7165164,-73.7341275
207,33 AVE & FRANCIS LEWIS BLVD,"Francis Lewis Blvd & 33rd Ave, Queens, NY 11358, USA",40.7674149,-73.7904933
208,34 AVE & 85 ST,"34th Ave & 85th St, Queens, NY 11372, USA",40.7539906,-73.88223029999997
209,FRANKLIN AVE & 167 ST,"Franklin Ave & E 167th St, The Bronx, NY 10456, USA",40.82895120000001,-73.9050022
